DeploymentID,DeploymentLabel,Year,Order,Vegetation_type,latitude,longitude
C-1,C-1,2024,1,,6.377439,-58.081517
C-2,C-2,2024,2,,6.380956,-58.080925
MC-2,MC-2-1,2024,3,,6.537069,-57.945783
MC-3,MC-3-1,2024,4,,6.537258,-57.946667
MC-4,MC-4-1,2024,5,,6.536944,-57.9521
MC-5,MC-5-1,2024,6,,6.524742,-57.956853
MC-6,MC-6-1,2024,7,,6.518839,-57.99935
MC-7,MC-7-1,2024,8,,6.519261,-57.999097
MC-8,MC-8-1,2024,9,,6.4741,-57.942703
MC-1,MC-1,2025,10,,6.659264,-57.921328
MC-2,MC-2,2025,11,,6.6424,-57.918844
MC-3,MC-3,2025,12,,6.537256,-57.946669
MC-4,MC-4,2025,13,,6.537203,-57.945811
MC-5,MC-5,2025,14,,6.536847,-57.952386
MC-6,MC-6,2025,15,,6.536947,-57.952097
MC-7,MC-7,2025,16,,6.537011,-57.951978
MC-8,MC-8,2025,17,,6.518928,-57.999458
MC-9,MC-9,2025,18,,6.518811,-57.999225
MC-10,MC-10,2025,19,,6.518928,-57.999458
MC-12,MC-12,2025,20,,6.444064,-57.942164
MC-11,MC-11,2025,21,,6.474156,-57.942744
MC-13,MC-13,2025,22,,6.444842,-57.942339
MC-14,MC-14,2025,23,,6.452678,-58.001997
MC-15,MC-15,2025,24,,6.452678,-58.001997
MC-16,MC-16,2025,25,,6.366686,-58.076442
MC-17,MC-17,2025,26,,6.377436,-58.081517
MC-18,MC-18,2025,27,,6.382692,-58.081356
MC-19,MC-19,2025,28,,6.382622,-58.080778
MC-20,MC-20,2025,29,,6.381961,-58.080244
MC-21,MC-21,2025,30,,6.381256,-58.080811
MC-25,MC-25,2025,31,,6.327583,-58.098028
MC-26,MC-26,2025,32,,6.342494,-58.129231
MC-29,MC-29,2025,33,,6.36025,-58.108711
MC-28,MC-28,2025,34,,6.357233,-58.118622
MC-22,MC-22,2025,35,,6.363417,-58.069639
MC-27,MC-27,2025,36,,6.370139,-58.0685
MC-23,MC-23,2025,37,,6.336778,-58.094167
MC-24,MC-24,2025,38,,6.363333,-58.069278
MC-31,MC-31,2025,39,,6.341967,-58.131806
MC-30,MC-30,2025,40,,6.342494,-58.129231
MC-33,MC-33,2025,41,,6.357233,-58.118622
MC-32,MC-32,2025,42,,6.359525,-58.126311
MC-34,MC-34,2025,43,,6.36025,-58.108711
OMP1025-01,OMP1025-01,2026,44,Marsh Forest,6.536972,-57.952
OMP1025-02,OMP1025-02,2026,45,Marsh Forest,6.374333,-58.082528
OMP1025-03,OMP1025-03,2026,46,Marsh Forest,6.383556,-58.078389
OMP1025-04,OMP1025-04,2026,47,Marsh Forest,6.536917,-57.952167
OMP1025-05,OMP1025-05,2026,48,Marsh Forest,6.382389,-58.081056
OMP1025-06,OMP1025-06,2026,49,Marsh Forest,6.51925,-57.999111
OMP1025-07,OMP1025-07,2026,50,Marsh Forest,6.658833,-57.920889
OMP1025-08,OMP1025-08,2026,51,Marsh Forest,6.536806,-57.952389
OMP1025-09,OMP1025-09,2026,52,Marsh Forest,6.518833,-57.995472
OMP1025-10,OMP1025-10,2026,53,Marsh Forest,6.380944,-58.081222
OMP1025-11,OMP1025-11,2026,54,Marsh Forest,6.382,-58.080528
OMP1025-12,OMP1025-12,2026,55,Marsh Forest,6.527278,-57.900306
OMP1025-13,OMP1025-13,2026,56,Marsh Forest,6.537222,-57.945806
OMP1025-14,OMP1025-14,2026,57,Marsh Forest,6.518917,-57.995472
OMP1025-15,OMP1025-15,2026,58,Dakama Firest,6.519222,-57.999194
OMP1025-16,OMP1025-16,2026,59,Marsh Forest,6.518889,-57.999333
OMP1025-17,OMP1025-17,2026,60,Marsh Forest,6.52725,-57.900333
OMP1025-18,OMP1025-18,2026,61,,6.474139,-57.942778
OMP1025-19,OMP1025-19,2026,62,,6.383194,-58.078278
OMP1025-20,OMP1025-20,2026,63,,6.382611,-58.080806
