"DeploymentLabel","total_imgs","total_animals","total_species","species_list","etp_present","felids_present","start_date","end_date","shannon","DDLat","DDLon"
"C-1",13,13,4,"Brazilian Agouti, Crab-Eating Fox, Lowland Paca, Tayra",FALSE,FALSE,2024-10-02 03:01:00,2024-12-26 01:58:00,1.11896886688163,6.377439,-58.081517
"C-2",418,418,1,"Brazilian Agouti",FALSE,FALSE,2024-09-18 13:55:00,2024-12-07 17:05:00,0,6.380956,-58.080925
"MC-1",530,530,5,"Black-Crowned Night-Heron, Cattle Egret, House Wren, Masked Water Tyrant, Smooth-Billed Ani",FALSE,FALSE,2024-10-05 05:38:00,2024-10-20 07:53:00,0.701283979646901,6.659264,-57.921328
"MC-10",5,12,2,"Red Brocket, White-Lipped Peccary",TRUE,FALSE,2025-04-05 05:44:00.384,2025-04-20 22:21:59.904,0.450561208866305,6.518928,-57.999458
"MC-11",1,1,1,"Red Brocket",FALSE,FALSE,2025-05-02 20:02:00.096,2025-05-02 20:02:00.096,0,6.474156,-57.942744
"MC-12",57,62,11,"Brazilian Agouti, Common Tegu, Crab-Eating Raccoon, Grey-Fronted Dove, Guyenne Spiny-Rat, Jaguarundi, Lowland Paca, Pauraque, Ring-Tailed Coati, Smooth-Billed Ani, Southern Tamandua",FALSE,TRUE,2025-02-13 02:56:59.712,2025-04-01 08:04:00.192,2.02359861357452,6.444064,-57.942164
"MC-13",86,106,5,"Capybara, Giant Otter, Lowland Paca, Ring-Tailed Coati, Wattled Jacana",TRUE,FALSE,2025-02-13 07:55:59.808,2025-05-01 03:05:00.096,0.422680105347094,6.444842,-57.942339
"MC-14",2,3,2,"Red Brocket, White-Lipped Peccary",TRUE,FALSE,2025-03-28 14:18:59.616,2025-04-02 10:51:59.616,0.636514168294813,6.452678,-58.001997
"MC-18",74,75,5,"Brazilian Agouti, Brazilian Tapir, Lowland Paca, Red Brocket, Tayra",TRUE,FALSE,2025-02-15 02:24:59.904,2025-05-11 10:30:59.904,0.919752669567386,6.382692,-58.081356
"MC-19",2,3,2,"Jaguar, Red Brocket",TRUE,TRUE,2025-03-16 17:51:59.904,2025-03-27 20:40:59.808,0.636514168294813,6.382622,-58.080778
