SpeciesCommonName,SpeciesScientificName,class,order,Taxa,ETP,Felid,ETP_num,Felid_num,Description,Source
Agami Heron,Agamia agami,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Glittering-Throated Emerald,Amazilia fimbriata,Aves,"	Apodiformes",Bird,FALSE,FALSE,0,0,,
Black-Throated Mango,Anthracothorax nigricollis,Aves,Apodiformes,Bird,FALSE,FALSE,0,0,,
Cattle Egret,Bubulcus ibis ibis,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Black-Collared Hawk,Busarellus nigricollis,Aves,Accipitriformes,Bird,FALSE,FALSE,0,0,,
Rufous Crab-Hawk,Buteogallus aequinoctialis,Aves,Accipitriformes,Bird,FALSE,FALSE,0,0,,
Savanna Hawk,Buteogallus meridionalis,Aves,Accipitriformes,Bird,FALSE,FALSE,0,0,,
Great Black-Hawk,Buteogallus urubitinga,Aves,Accipitriformes,Bird,FALSE,FALSE,0,0,,
Green-Backed Heron,Butorides striata,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Spectacled Caiman,Caiman crocodilus,Reptilia,Crocodilia,Reptilia,FALSE,FALSE,0,0,,
Weeper Capuchin Monkey,Cebus olivaceus,Mammalia,Primates,Mammal,FALSE,FALSE,0,0,,
Crab-Eating Fox,Cerdocyon thous,Mammalia,Carnivora,Mammal,FALSE,FALSE,0,0,,
Bat,Chiroptera sp.,Mammalia,Chiroptera,Mammal,FALSE,FALSE,0,0,,
Boat-Billed Heron,Cochlearius cochlearius,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Ruddy Ground Dove,Columbina talpacoti,Aves,Columbiformes,Bird,FALSE,FALSE,0,0,,
Smooth-Billed Ani,Crotophaga ani,Aves,Cuculiformes,Bird,FALSE,FALSE,0,0,,
Lowland Paca,Cuniculus paca,Mammalia,Rodentia,Mammal,FALSE,FALSE,0,0,,
Brazilian Agouti,Dasyprocta leporina,Mammalia,Rodentia,Mammal,FALSE,FALSE,0,0,,
Straight-Billed Woodcreeper,Dendroplex picus,Aves,Passeriformes,Bird,FALSE,FALSE,0,0,,
Southern Opossum,Didelphis marsupialis,Mammalia,Didelphimorphia,Mammal,FALSE,FALSE,0,0,,
Little Blue Heron,Egretta caerulea,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Tricolored Heron,Egretta tricolor,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Tayra,Eira barbara,Mammalia,Carnivora,Mammal,FALSE,FALSE,0,0,,
Scarlet Ibis,Eudocimus ruber,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Masked Water Tyrant,fluvicola nengeta,Aves,Passeriformes,Bird,FALSE,FALSE,0,0,,
Jaguarundi,Herpailurus yagouaroundi,Mammalia,Carnivora,Mammal,FALSE,TRUE,0,1,,
Capybara,Hydrochoerus hydrochaeris,Mammalia,Rodentia,Mammal,FALSE,FALSE,0,0,,
Wattled Jacana,Jacana jacana,Aves,Charadriiformes,Bird,FALSE,FALSE,0,0,,
Ocelot,Leopardus pardalis,Mammalia,Carnivora,Mammal,FALSE,TRUE,0,1,,
Grey-Fronted Dove,Leptotila rufaxilla,Aves,Columbiformes,Bird,FALSE,FALSE,0,0,,
White-Tipped Dove,Leptotila verreauxi,Aves,Columbiformes,Bird,FALSE,FALSE,0,0,,
Murine Mouse Opossum,Marmosa murina,Mammalia,Didelphimorphia,Mammal,FALSE,FALSE,0,0,,
Red Brocket,Mazama americana,Mammalia,Artiodactyla,Mammal,FALSE,FALSE,0,0,,
Green Ibis,Mesembrinibis cayennensis,Aves,Pelecaniformes,Bird,FALSE,FALSE,0,0,,
Spiny Tree Rat,Mesomys hispidus,Mammalia,Rodentia,Mammal,FALSE,FALSE,0,0,,
Brown-Crested Flycatcher,Myiarchus tyrannulus,Aves,Passeriformes,Bird,FALSE,FALSE,0,0,,
